name,module_name,module_type,value,updated_at
southsudan,"Population Planning figure","Total Population & Demogrpahy",581451,"2014-12-04 15:27:22"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581352,"2014-11-27 13:47:58"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581213,"2014-11-20 14:12:17"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581112,"2014-11-14 11:32:37"
southsudan,"Population Planning figure","Total Population & Demogrpahy",581019,"2014-11-09 08:48:34"
southsudan,"Population Planning figure","Total Population & Demogrpahy",580510,"2014-10-15 17:51:20"
southsudan,"Population Planning figure","Total Population & Demogrpahy",579806,"2014-10-08 11:41:35"
southsudan,"Population Planning figure","Total Population & Demogrpahy",579806,"2014-10-01 14:53:33"
southsudan,"Population Planning figure","Total Population & Demogrpahy",715000,"2014-07-01 15:01:55"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",509363,"2015-03-13 18:36:18"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",509333,"2015-03-12 16:44:02"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",367260,"2014-06-04 17:08:58"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",508935,"2015-03-10 19:13:39"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",382760,"2014-06-12 15:23:37"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",508146,"2015-03-06 20:14:14"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",508012,"2015-03-06 20:14:14"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",506938,"2015-03-02 12:54:48"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",506563,"2015-02-27 12:33:19"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",506546,"2015-02-26 10:19:05"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",505309,"2015-02-24 07:22:52"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",505294,"2015-02-23 13:29:28"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",505191,"2015-02-20 11:14:47"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",504627,"2015-02-20 11:14:47"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",504539,"2015-02-17 12:56:30"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",504039,"2015-02-12 18:26:12"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",497575,"2015-01-19 08:20:20"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",498411,"2015-01-18 12:45:34"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",494010,"2015-01-16 18:28:52"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",492312,"2015-01-12 08:30:26"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",491289,"2015-01-08 12:27:53"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",491214,"2015-01-06 17:59:51"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",490968,"2015-01-06 17:59:51"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",488597,"2014-12-31 08:31:14"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",488585,"2014-12-26 22:12:33"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",488558,"2014-12-18 10:54:29"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",488558,"2014-12-23 12:55:38"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",488558,"2014-12-19 16:20:54"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",487704,"2014-12-16 14:52:04"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",487594,"2014-12-15 08:01:27"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",487476,"2014-12-12 23:16:12"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",487302,"2014-12-12 19:04:59"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",483030,"2014-12-09 11:43:00"
southsudan,"Refugees from South Sudan in neighbouring countries: Post 15 Dec 2013","Total Population & Demogrpahy",483030,"2014-12-08 08:47:25"
