name,module_name,value,updated_at
syria,Registered Syrian Refugees,475552,2008-12-19
syria,Registered Syrian Refugees,92358,2008-06-23
syria,Registered Syrian Refugees,8000,2007-12-15
syria,Registered Syrian Refugees,911784,2009-03-14
syria,Registered Syrian Refugees,1638915,2009-07-17
syria,Registered Syrian Refugees,2043805,2009-10-03
syria,Registered Syrian Refugees,3720063,2011-01-19
syria,Registered Syrian Refugees,2518356,2010-03-11
syria,Registered Syrian Refugees,2534613,2010-03-17
syria,Registered Syrian Refugees,570119,2009-01-20
syria,Registered Syrian Refugees,314180,2008-11-01
syria,Registered Syrian Refugees,241177,2008-09-25
syria,Registered Syrian Refugees,2556972,2010-03-26
syria,Registered Syrian Refugees,2188409,2009-11-16
syria,Registered Syrian Refugees,235539,2008-09-20
syria,Registered Syrian Refugees,1133087,2009-04-15
syria,Registered Syrian Refugees,277258,2008-10-11
syria,Registered Syrian Refugees,2079904,2009-10-15
syria,Registered Syrian Refugees,2306664,2009-12-17
syria,Registered Syrian Refugees,2465337,2010-02-24
syria,Registered Syrian Refugees,124421,2008-07-23
syria,Registered Syrian Refugees,2304870,2010-01-02
syria,Registered Syrian Refugees,3031718,2010-09-28
syria,Registered Syrian Refugees,3206384,2010-12-09
syria,Registered Syrian Refugees,2960808,2010-08-25
syria,Registered Syrian Refugees,2417736,2010-02-03
syria,Registered Syrian Refugees,3023223,2010-10-20
syria,Registered Syrian Refugees,133843,2008-08-06
syria,Registered Syrian Refugees,1779634,2009-08-24
syria,Registered Syrian Refugees,1961539,2009-09-17
syria,Registered Syrian Refugees,3224960,2011-01-06
syria,Registered Syrian Refugees,128081,2008-07-29
syria,Registered Syrian Refugees,2884374,2010-07-16
syria,Registered Syrian Refugees,2662432,2010-04-27
syria,Registered Syrian Refugees,544093,2009-01-14
syria,Registered Syrian Refugees,2723596,2010-05-14
syria,Registered Syrian Refugees,3718367,2011-01-14
syria,Registered Syrian Refugees,407070,2008-11-29
syria,Registered Syrian Refugees,55754,2008-04-25
syria,Registered Syrian Refugees,2792480,2010-06-11
syria,Registered Syrian Refugees,2158212,2009-11-05
syria,Registered Syrian Refugees,1708283,2009-08-03
syria,Registered Syrian Refugees,1528358,2009-06-24
syria,Registered Syrian Refugees,3204751,2010-12-07
syria,Registered Syrian Refugees,3205697,2010-12-09
syria,Registered Syrian Refugees,1874246,2009-09-05
syria,Registered Syrian Refugees,1889185,2009-09-13
syria,Registered Syrian Refugees,444808,2008-12-11
syria,Registered Syrian Refugees,2264623,2009-12-07
syria,Registered Syrian Refugees,2768031,2010-06-04
syria,Registered Syrian Refugees,2994868,2010-10-01
syria,Registered Syrian Refugees,2696844,2010-05-06
syria,Registered Syrian Refugees,2167774,2009-11-10
syria,Registered Syrian Refugees,1095022,2009-04-09
syria,Registered Syrian Refugees,21959,2008-02-29
syria,Registered Syrian Refugees,2348875,2010-01-17
syria,Registered Syrian Refugees,2537014,2010-03-18
syria,Registered Syrian Refugees,1820862,2009-08-27
syria,Registered Syrian Refugees,2178259,2009-11-07
syria,Registered Syrian Refugees,2041175,2009-10-02
syria,Registered Syrian Refugees,2807527,2010-06-16
